A_res_vector[0] = 2.4093; A_res_vector[1] = 2.62268

-30		0.001		0.0314062
-29		0.00125893		0.0352383
-28		0.00158489		0.039538
-27		0.00199526		0.0443624
-26		0.00251189		0.0497754
-25		0.00316228		0.0558489
-24		0.00398107		0.0626635
-23		0.00501187		0.0703096
-22		0.00630957		0.0788887
-21		0.00794328		0.0885146
-20		0.01		0.099315
-19		0.0125893		0.111433
-18		0.0158489		0.12503
-17		0.0199526		0.140286
-16		0.0251189		0.157404
-15		0.0316228		0.17661
-14		0.0398107		0.19816
-13		0.0501187		0.222339
-12		0.0630957		0.249468
-11		0.0794328		0.279908
-10		0.1		0.314062
-9		0.125893		0.352383
-8		0.158489		0.39538
-7		0.199526		0.443624
-6		0.251189		0.497754
-5		0.316228		0.558489
-4		0.398107		0.626635
-3		0.501187		0.703096
-2		0.630957		0.788887
-1		0.794328		0.885146
0		1		0.99315
1		1.25893		1.11433
2		1.58489		1.2503
3		1.99526		1.40286
4		2.51189		1.57404
5		3.16228		1.7661
6		3.98107		1.9816
7		5.01187		2.22339
8		6.30957		2.49468
9		7.94328		2.79908
10		10		3.14062
11		12.5893		3.52383
12		15.8489		3.9538
13		19.9526		4.43624
14		25.1189		4.97754
15		31.6228		5.58489
16		39.8107		6.26635
17		50.1187		7.03096
18		63.0957		7.88887
19		79.4328		8.85146
20		100		9.9315
21		125.893		11.1433
22		158.489		12.503
23		199.526		14.0286
24		251.189		15.7404
25		316.228		17.661
26		398.107		19.816
27		501.187		22.2339
28		630.957		24.9468
29		794.328		27.9908
30		1000		31.4062
31		1258.93		35.2383
32		1584.89		39.538
33		1995.26		44.3624
34		2511.89		49.7754
35		3162.28		55.8489
36		3981.07		62.6635
37		5011.87		70.3096
38		6309.57		78.8887
39		7943.28		88.5146
40		10000		99.315
